,,bytes_control_header,bytes_control_header_retrans,bytes_data_header,bytes_data_header_retrans,bytes_data_payload,bytes_data_payload_retrans,bytes_total
server2~11.0.0.2,1194,0,0,0,0,0,0,0
server2~11.0.0.2,1195,0,0,0,0,0,0,0
server2~11.0.0.2,1196,0,0,0,0,0,0,0
server2~11.0.0.2,1197,0,0,0,0,0,0,0
server2~11.0.0.2,1198,0,0,0,0,0,0,0
server2~11.0.0.2,1199,0,0,0,0,0,0,0
server2~11.0.0.2,12,0,0,0,0,0,0,0
server2~11.0.0.2,120,0,0,0,0,0,0,0
server2~11.0.0.2,1200,0,0,0,0,0,0,0
server2~11.0.0.2,1201,0,0,0,0,0,0,0
server2~11.0.0.2,1202,0,0,0,0,0,0,0
server2~11.0.0.2,1203,0,0,0,0,0,0,0
server2~11.0.0.2,1204,0,0,0,0,0,0,0
server2~11.0.0.2,1205,0,0,0,0,0,0,0
server2~11.0.0.2,1206,0,0,0,0,0,0,0
server2~11.0.0.2,1207,0,0,0,0,0,0,0
server2~11.0.0.2,1208,0,0,0,0,0,0,0
server2~11.0.0.2,1209,0,0,0,0,0,0,0
server2~11.0.0.2,121,0,0,0,0,0,0,0
server2~11.0.0.2,1210,0,0,0,0,0,0,0
server2~11.0.0.2,1211,0,0,0,0,0,0,0
server2~11.0.0.2,1212,0,0,0,0,0,0,0
server2~11.0.0.2,1213,0,0,0,0,0,0,0
server2~11.0.0.2,1214,0,0,0,0,0,0,0
server2~11.0.0.2,1215,0,0,0,0,0,0,0
server2~11.0.0.2,1216,0,0,0,0,0,0,0
server2~11.0.0.2,1217,0,0,0,0,0,0,0
server2~11.0.0.2,1218,0,0,0,0,0,0,0
server2~11.0.0.2,1219,0,0,0,0,0,0,0
server2~11.0.0.2,122,0,0,0,0,0,0,0
server2~11.0.0.2,1220,0,0,0,0,0,0,0
server2~11.0.0.2,1221,0,0,0,0,0,0,0
server2~11.0.0.2,1222,0,0,0,0,0,0,0
server2~11.0.0.2,1223,0,0,0,0,0,0,0
server2~11.0.0.2,1224,0,0,0,0,0,0,0
server2~11.0.0.2,1225,0,0,0,0,0,0,0
server2~11.0.0.2,1226,0,0,0,0,0,0,0
server2~11.0.0.2,1227,0,0,0,0,0,0,0
server2~11.0.0.2,1228,0,0,0,0,0,0,0
server2~11.0.0.2,1229,0,0,0,0,0,0,0
server2~11.0.0.2,123,0,0,0,0,0,0,0
server2~11.0.0.2,1230,0,0,0,0,0,0,0
