time,bytes_read,bytes_written
339,0,13
34,0,13
340,0,13
341,0,13
342,0,13
343,0,129
344,0,14
345,0,13
346,0,13
347,0,13
348,0,13
349,0,13
35,0,13
350,0,13
351,0,13
352,0,13
353,0,13
354,0,129
355,0,14
356,0,13
357,0,13
358,0,13
359,0,13
36,0,13
360,0,13
361,0,13
362,0,13
363,0,13
364,0,13
365,0,129
366,0,14
367,0,13
368,0,13
369,0,13
37,0,13
370,0,13
371,0,13
372,0,13
373,9231,8492
374,3801,6402
375,1629,3039
376,0,223
377,0,14
378,0,13
379,0,13
38,0,13
380,0,13
381,0,13
382,0,13
383,0,13
384,0,13
385,0,13
386,0,129
387,0,14
388,0,13
389,0,13
39,0,13
390,0,13
391,0,13
392,0,13
393,0,13
394,0,13
395,0,13
396,0,13
397,0,129
398,0,14
399,0,13
4,0,14
40,0,13
400,0,13
401,0,13
402,0,13
403,0,13
404,13003,3271
405,0,313
406,0,14
407,0,13
408,0,129
409,0,14
41,3258,3387
410,0,13
411,757,341
412,66,343
413,66,342
414,66,342
415,3324,3600
416,66,545
417,66,342
418,66,342
419,66,458
42,0,218
420,66,342
421,66,342
422,66,342
423,66,342
424,66,342
425,66,342
426,3324,3571
427,827,834
428,0,16
429,0,13
43,0,14
430,0,129
431,0,14
432,0,13
433,0,13
434,0,13
435,3258,13
436,0,204
437,6516,3272
438,0,359
439,0,14
44,0,13
440,0,13
441,0,129
442,0,14
443,0,13
444,0,13
445,0,13
446,0,13
447,0,13
448,2715,2728
449,543,169
45,0,13
450,0,604
451,0,59
452,0,129
453,0,14
454,0,13
455,0,13
456,0,13
457,0,13
458,0,13
459,0,13
46,0,13
460,0,13
461,0,13
462,0,13
463,0,129
464,0,14
465,0,13
466,9231,3271
467,0,358
468,0,14
469,0,13
47,0,13
470,0,13
471,767,351
472,0,16
473,0,13
474,0,129
475,0,14
476,0,13
477,2715,2728
478,1057,167
479,0,606
48,0,13
480,0,59
481,0,13
482,0,13
483,0,13
484,0,13
485,0,129
486,0,14
487,0,13
488,0,13
489,0,13
49,0,13
490,0,13
491,0,13
492,0,13
493,0,13
494,0,13
495,0,13
496,0,129
497,0,14
498,0,13
499,0,13
5,0,13
50,0,13
500,0,13
501,0,13
502,0,13
503,0,13
504,0,13
505,0,13
506,0,13
507,0,129
508,0,14
509,0,13
51,543,13
510,0,13
511,0,13
512,0,13
513,0,13
514,0,13
515,0,13
516,0,13
517,0,13
518,0,129
519,0,14
52,2715,3436
520,0,13
521,0,13
522,0,13
523,0,13
524,0,13
525,0,13
526,0,13
527,0,13
528,0,13
529,0,129
53,0,214
530,0,14
531,0,13
532,0,13
533,0,13
534,0,13
535,0,13
536,0,13
