time,bytes_read,bytes_written
581,834,364
582,834,364
583,834,364
584,834,364
585,834,364
586,834,364
587,834,364
588,834,364
589,834,364
59,221,334
590,834,364
591,1377,907
592,1122,1277
593,556,250
594,556,248
595,556,248
596,556,248
597,556,248
598,556,248
599,777,569
6,0,13
60,0,16
600,556,248
601,556,248
602,556,248
603,556,248
604,844,1066
605,278,133
606,278,132
607,278,132
608,278,132
609,278,132
61,0,13
610,278,132
611,278,132
612,278,132
613,278,132
614,278,132
615,278,132
616,278,132
617,278,132
618,278,132
619,278,132
62,0,13
620,278,132
621,278,132
622,278,132
623,278,132
624,278,132
625,278,132
626,278,132
627,278,132
628,278,132
629,278,132
63,543,13
630,278,132
631,278,132
632,278,132
633,821,132
634,821,1265
635,821,772
636,278,226
637,278,132
638,278,132
639,278,132
64,2715,3320
640,278,132
641,278,132
642,278,132
643,278,132
644,821,132
645,821,1265
646,821,772
647,278,226
648,278,132
649,278,132
65,0,170
650,278,132
651,278,132
652,278,132
653,821,675
654,278,226
655,6794,7737
656,278,385
657,278,132
658,278,132
659,3627,3210
66,0,14
660,278,272
661,278,132
662,278,132
663,278,132
664,278,132
665,278,132
666,3536,3390
667,278,287
668,278,132
669,278,132
67,0,13
670,278,132
671,278,132
672,0,16
673,0,13
674,0,13
675,543,13
676,0,62
677,0,13
678,0,13
679,0,13
68,0,13
680,0,13
681,0,13
682,0,13
683,0,13
684,543,556
685,0,110
686,0,14
687,0,13
688,0,13
689,0,13
69,0,13
690,0,13
691,0,13
692,0,13
693,0,13
694,0,13
695,0,13
696,0,13
697,0,13
698,0,13
699,0,13
7,0,13
70,0,13
700,0,13
701,0,13
702,0,13
703,0,13
704,278,129
705,278,132
706,278,132
707,278,132
708,278,132
709,278,132
71,0,13
710,278,132
711,278,132
712,278,132
713,278,132
714,278,132
715,278,132
716,278,132
717,278,132
718,278,132
719,499,453
72,0,13
720,278,132
721,278,132
722,278,132
723,278,132
724,278,132
725,278,132
726,278,132
727,278,132
728,278,132
729,278,132
73,0,13
730,278,132
731,278,132
732,278,132
733,278,132
734,278,132
735,278,132
736,278,132
737,278,132
738,278,132
739,278,132
74,0,13
740,278,132
741,278,132
742,278,132
743,278,132
744,278,132
745,278,132
746,6251,5019
747,1907,2009
748,0,165
749,14218,40812
75,0,13
750,3263,3593
